      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_v2>  <n_iter_dr>
   8700000  3.882266e+02  1.350218e-05  2.490741e+01  3.327418e-01  8.031721e+00  1.10e-01  9.67e-05  8.91e-01  0.00000e+00  2.00000e+00
   8800000  3.895425e+02  1.315958e-05  2.575417e+01  3.332245e-01  7.887139e+00  1.11e-01  9.75e-05  8.91e-01  0.00000e+00  2.00000e+00
   8900000  3.908250e+02  1.282461e-05  2.663490e+01  3.337110e-01  7.744335e+00  1.12e-01  9.73e-05  8.91e-01  0.00000e+00  2.00000e+00
   9000000  3.920746e+02  1.249602e-05  2.755122e+01  3.342013e-01  7.603291e+00  1.13e-01  9.74e-05  8.91e-01  0.00000e+00  2.00000e+00
   9100000  3.932921e+02  1.217474e-05  2.850491e+01  3.346955e-01  7.463980e+00  1.14e-01  9.74e-05  8.91e-01  0.00000e+00  2.00000e+00
   9200000  3.944781e+02  1.185985e-05  2.949779e+01  3.351937e-01  7.326382e+00  1.15e-01  9.74e-05  8.91e-01  0.00000e+00  2.00000e+00
   9300000  3.956332e+02  1.155170e-05  3.053184e+01  3.356960e-01  7.190473e+00  1.16e-01  9.72e-05  8.91e-01  0.00000e+00  2.00000e+00
   9400000  3.967582e+02  1.125005e-05  3.160914e+01  3.362026e-01  7.056231e+00  1.17e-01  9.75e-05  8.91e-01  0.00000e+00  2.00000e+00
   9500000  3.978537e+02  1.095455e-05  3.273189e+01  3.367134e-01  6.923636e+00  1.19e-01  9.78e-05  8.91e-01  0.00000e+00  2.00000e+00
   9600000  3.989202e+02  1.066556e-05  3.390245e+01  3.372287e-01  6.792664e+00  1.20e-01  9.87e-05  8.91e-01  0.00000e+00  2.00000e+00
   9700000  3.999585e+02  1.038244e-05  3.512329e+01  3.377485e-01  6.663297e+00  1.21e-01  9.90e-05  8.91e-01  0.00000e+00  2.00000e+00
   9800000  4.009690e+02  1.010552e-05  3.639710e+01  3.382729e-01  6.535511e+00  1.22e-01  9.93e-05  8.91e-01  0.00000e+00  2.00000e+00
   9900000  4.019525e+02  9.834532e-06  3.772669e+01  3.388022e-01  6.409285e+00  1.23e-01  9.95e-05  8.91e-01  0.00000e+00  2.00000e+00
  10000000  4.029094e+02  9.569081e-06  3.911505e+01  3.393363e-01  6.284604e+00  1.25e-01  9.98e-05  8.91e-01  0.00000e+00  2.00000e+00
  10100000  4.038403e+02  9.309457e-06  4.056539e+01  3.398755e-01  6.161444e+00  1.26e-01  1.01e-04  8.91e-01  0.00000e+00  2.00000e+00
  10200000  4.047459e+02  9.055566e-06  4.208116e+01  3.404198e-01  6.039785e+00  1.27e-01  1.01e-04  8.91e-01  0.00000e+00  2.00000e+00
  10300000  4.056266e+02  8.806984e-06  4.366599e+01  3.409695e-01  5.919608e+00  1.29e-01  1.01e-04  8.91e-01  0.00000e+00  2.00000e+00
