      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
     11213  5.387685e-02  1.032505e-02  7.545851e+01  1.270238e+00  3.070419e-01  1.973680e+01  1.170559e+01  1.010321e-01  1.936196e-02
     11347  5.470294e-02  1.048336e-02  7.470185e+01  1.257500e+00  3.070419e-01  1.973680e+01  1.172942e+01  1.017492e-01  1.949938e-02
     11481  5.553512e-02  1.064285e-02  7.395324e+01  1.244899e+00  3.070418e-01  1.973679e+01  1.175324e+01  1.024705e-01  1.963762e-02
     11615  5.637349e-02  1.080351e-02  7.321260e+01  1.232431e+00  3.070417e-01  1.973679e+01  1.177704e+01  1.031960e-01  1.977666e-02
     11749  5.721814e-02  1.096538e-02  7.247982e+01  1.220096e+00  3.070417e-01  1.973678e+01  1.180083e+01  1.039259e-01  1.991653e-02
     11883  5.806916e-02  1.112847e-02  7.175481e+01  1.207891e+00  3.070416e-01  1.973678e+01  1.182460e+01  1.046600e-01  2.005723e-02
     12018  5.893308e-02  1.129404e-02  7.103214e+01  1.195726e+00  3.070415e-01  1.973677e+01  1.184855e+01  1.054041e-01  2.019982e-02
     12153  5.980368e-02  1.146088e-02  7.031717e+01  1.183690e+00  3.070414e-01  1.973677e+01  1.187248e+01  1.061526e-01  2.034327e-02
     12288  6.068104e-02  1.162902e-02  6.960979e+01  1.171783e+00  3.070414e-01  1.973677e+01  1.189641e+01  1.069056e-01  2.048757e-02
     12423  6.156529e-02  1.179848e-02  6.890991e+01  1.160001e+00  3.070413e-01  1.973676e+01  1.192032e+01  1.076632e-01  2.063275e-02
     12558  6.245653e-02  1.196928e-02  6.821744e+01  1.148345e+00  3.070412e-01  1.973676e+01  1.194424e+01  1.084253e-01  2.077881e-02
     12693  6.335487e-02  1.214144e-02  6.753230e+01  1.136811e+00  3.070412e-01  1.973675e+01  1.196814e+01  1.091920e-01  2.092574e-02
     12828  6.426042e-02  1.231498e-02  6.685438e+01  1.125399e+00  3.070411e-01  1.973675e+01  1.199205e+01  1.099634e-01  2.107357e-02
     12963  6.517330e-02  1.248992e-02  6.618361e+01  1.114108e+00  3.070410e-01  1.973674e+01  1.201594e+01  1.107395e-01  2.122231e-02
     13098  6.609362e-02  1.266629e-02  6.551990e+01  1.102935e+00  3.070409e-01  1.973674e+01  1.203984e+01  1.115203e-01  2.137194e-02
     13233  6.702150e-02  1.284412e-02  6.486315e+01  1.091880e+00  3.070408e-01  1.973673e+01  1.206374e+01  1.123059e-01  2.152250e-02
     13368  6.795707e-02  1.302341e-02  6.421329e+01  1.080940e+00  3.070408e-01  1.973673e+01  1.208763e+01  1.130964e-01  2.167398e-02
     13503  6.890044e-02  1.320420e-02  6.357024e+01  1.070115e+00  3.070407e-01  1.973672e+01  1.211153e+01  1.138916e-01  2.182639e-02
     13638  6.985175e-02  1.338651e-02  6.293390e+01  1.059404e+00  3.070406e-01  1.973672e+01  1.213543e+01  1.146918e-01  2.197974e-02
     13773  7.081112e-02  1.357036e-02  6.230421e+01  1.048804e+00  3.070405e-01  1.973671e+01  1.215933e+01  1.154970e-01  2.213404e-02
     13908  7.177869e-02  1.375579e-02  6.168107e+01  1.038314e+00  3.070404e-01  1.973671e+01  1.218323e+01  1.163072e-01  2.228930e-02
     14044  7.276185e-02  1.394421e-02  6.105988e+01  1.027857e+00  3.070404e-01  1.973670e+01  1.220732e+01  1.171284e-01  2.244669e-02
     14180  7.375360e-02  1.413427e-02  6.044518e+01  1.017509e+00  3.070403e-01  1.973669e+01  1.223142e+01  1.179549e-01  2.260507e-02
     14316  7.475409e-02  1.432600e-02  5.983690e+01  1.007270e+00  3.070402e-01  1.973669e+01  1.225552e+01  1.187865e-01  2.276445e-02
     14452  7.576347e-02  1.451944e-02  5.923497e+01  9.971373e-01  3.070401e-01  1.973668e+01  1.227963e+01  1.196234e-01  2.292483e-02
     14588  7.678188e-02  1.471461e-02  5.863931e+01  9.871101e-01  3.070400e-01  1.973668e+01  1.230376e+01  1.204656e-01  2.308624e-02
     14724  7.780947e-02  1.491154e-02  5.804984e+01  9.771872e-01  3.070399e-01  1.973667e+01  1.232789e+01  1.213132e-01  2.324867e-02
     14860  7.884641e-02  1.511026e-02  5.746648e+01  9.673673e-01  3.070398e-01  1.973667e+01  1.235204e+01  1.221662e-01  2.341214e-02
     14996  7.989284e-02  1.531080e-02  5.688918e+01  9.576492e-01  3.070397e-01  1.973666e+01  1.237620e+01  1.230247e-01  2.357666e-02
     15132  8.094895e-02  1.551319e-02  5.631785e+01  9.480316e-01  3.070396e-01  1.973665e+01  1.240037e+01  1.238887e-01  2.374223e-02
