     i         log_r      log_rmid             m           rho            v2        trelax            kn
   114  5.903399e-01  4.059462e-01  1.449834e-01  3.938379e-04  3.754999e-02  1.310321e+04  6.471040e+00
   115  7.423253e-01  6.729475e-01  1.528329e-01  2.148121e-04  3.062499e-02  2.660132e+04  9.702204e+00
   116  8.279952e-01  7.872693e-01  1.610180e-01  1.803784e-04  2.822512e-02  3.299875e+04  1.102878e+01
   117  8.879807e-01  8.590228e-01  1.695469e-01  1.635174e-04  2.692380e-02  3.727072e+04  1.186008e+01
   118  9.343170e-01  9.117665e-01  1.784273e-01  1.531079e-04  2.597931e-02  4.052180e+04  1.247743e+01
   119  9.722131e-01  9.536782e-01  1.876667e-01  1.458143e-04  2.521667e-02  4.318730e+04  1.297759e+01
   120  1.004394e+00  9.886018e-01  1.972725e-01  1.402505e-04  2.457145e-02  4.548625e+04  1.340510e+01
   121  1.032459e+00  1.018654e+00  2.072515e-01  1.357520e-04  2.400908e-02  4.754076e+04  1.378405e+01
   122  1.057422e+00  1.045120e+00  2.176105e-01  1.319636e-04  2.350756e-02  4.942448e+04  1.412885e+01
   123  1.079964e+00  1.068839e+00  2.283559e-01  1.286768e-04  2.305213e-02  5.118519e+04  1.444881e+01
   124  1.100565e+00  1.090387e+00  2.394938e-01  1.257590e-04  2.263266e-02  5.285586e+04  1.475029e+01
   125  1.119575e+00  1.110174e+00  2.510298e-01  1.231206e-04  2.224206e-02  5.446052e+04  1.503782e+01
   126  1.137258e+00  1.128506e+00  2.629693e-01  1.206982e-04  2.187523e-02  5.601738e+04  1.531479e+01
   127  1.153816e+00  1.145616e+00  2.753172e-01  1.184455e-04  2.152842e-02  5.754073e+04  1.558376e+01
   128  1.169409e+00  1.161682e+00  2.880780e-01  1.163275e-04  2.119879e-02  5.904212e+04  1.584678e+01
   129  1.184165e+00  1.176850e+00  3.012559e-01  1.143177e-04  2.088411e-02  6.053110e+04  1.610546e+01
   130  1.198188e+00  1.191233e+00  3.148546e-01  1.123952e-04  2.058263e-02  6.201575e+04  1.636114e+01
   131  1.211563e+00  1.204927e+00  3.288774e-01  1.105434e-04  2.029294e-02  6.350307e+04  1.661494e+01
   132  1.224363e+00  1.218010e+00  3.433271e-01  1.087491e-04  2.001389e-02  6.499927e+04  1.686783e+01
   133  1.236646e+00  1.230548e+00  3.582062e-01  1.070016e-04  1.974453e-02  6.650991e+04  1.712061e+01
   134  1.248465e+00  1.242596e+00  3.735166e-01  1.052920e-04  1.948405e-02  6.804009e+04  1.737402e+01
   135  1.259864e+00  1.254202e+00  3.892599e-01  1.036132e-04  1.923178e-02  6.959456e+04  1.762871e+01
   136  1.270881e+00  1.265407e+00  4.054373e-01  1.019590e-04  1.898715e-02  7.117783e+04  1.788526e+01
   137  1.281548e+00  1.276247e+00  4.220493e-01  1.003244e-04  1.874966e-02  7.279420e+04  1.814420e+01
   138  1.291896e+00  1.286753e+00  4.390963e-01  9.870530e-05  1.851889e-02  7.444783e+04  1.840603e+01
   139  1.301949e+00  1.296951e+00  4.565780e-01  9.709824e-05  1.829446e-02  7.614280e+04  1.867120e+01
   140  1.311730e+00  1.306867e+00  4.744939e-01  9.550033e-05  1.807603e-02  7.788317e+04  1.894017e+01
   141  1.321261e+00  1.316522e+00  4.928430e-01  9.390922e-05  1.786331e-02  7.967294e+04  1.921333e+01
   142  1.330559e+00  1.325935e+00  5.116240e-01  9.232298e-05  1.765602e-02  8.151618e+04  1.949111e+01
   143  1.339641e+00  1.335124e+00  5.308350e-01  9.074007e-05  1.745392e-02  8.341698e+04  1.977387e+01
   144  1.348521e+00  1.344104e+00  5.504739e-01  8.915929e-05  1.725678e-02  8.537949e+04  2.006202e+01
   145  1.357213e+00  1.352889e+00  5.705382e-01  8.757972e-05  1.706440e-02  8.740796e+04  2.035591e+01
   146  1.365730e+00  1.361493e+00  5.910251e-01  8.600070e-05  1.687657e-02  8.950678e+04  2.065593e+01
   147  1.374083e+00  1.369927e+00  6.119315e-01  8.442179e-05  1.669312e-02  9.168045e+04  2.096244e+01
   148  1.382282e+00  1.378202e+00  6.332539e-01  8.284278e-05  1.651386e-02  9.393362e+04  2.127581e+01
   149  1.390337e+00  1.386328e+00  6.549885e-01  8.126360e-05  1.633863e-02  9.627114e+04  2.159643e+01
   150  1.398256e+00  1.394315e+00  6.771312e-01  7.968438e-05  1.616727e-02  9.869804e+04  2.192466e+01
   151  1.406049e+00  1.402170e+00  6.996779e-01  7.810535e-05  1.599961e-02  1.012196e+05  2.226090e+01
   152  1.413722e+00  1.409902e+00  7.226239e-01  7.652688e-05  1.583552e-02  1.038412e+05  2.260553e+01
   153  1.421283e+00  1.417519e+00  7.459645e-01  7.494947e-05  1.567483e-02  1.065688e+05  2.295895e+01
   154  1.428738e+00  1.425026e+00  7.696946e-01  7.337369e-05  1.551740e-02  1.094083e+05  2.332159e+01
   155  1.436094e+00  1.432432e+00  7.938092e-01  7.180019e-05  1.536309e-02  1.123661e+05  2.369386e+01
   156  1.443357e+00  1.439741e+00  8.183029e-01  7.022969e-05  1.521175e-02  1.154489e+05  2.407619e+01
   157  1.450532e+00  1.446959e+00  8.431702e-01  6.866297e-05  1.506325e-02  1.186637e+05  2.446905e+01
   158  1.457624e+00  1.454092e+00  8.684054e-01  6.710087e-05  1.491745e-02  1.220182e+05  2.487290e+01
   159  1.464639e+00  1.461145e+00  8.940028e-01  6.554425e-05  1.477421e-02  1.255201e+05  2.528822e+01
   160  1.471580e+00  1.468123e+00  9.199565e-01  6.399398e-05  1.463341e-02  1.291779e+05  2.571553e+01
   161  1.478454e+00  1.475031e+00  9.462603e-01  6.245098e-05  1.449490e-02  1.330004e+05  2.615535e+01
   162  1.485263e+00  1.481872e+00  9.729084e-01  6.091617e-05  1.435856e-02  1.369973e+05  2.660823e+01
   163  1.492012e+00  1.488651e+00  9.998945e-01  5.939045e-05  1.422427e-02  1.411784e+05  2.707475e+01
