      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_cr>  <n_iter_dr>
  10200000  8.888391e+03  5.439274e-04  4.915100e+02  6.574784e-01  2.765639e-03  1.72e+02  6.20e-02  9.50e-01  0.00000e+00  1.00000e+00
  10300000  8.941889e+03  5.349834e-04  5.088163e+02  6.605121e-01  2.705714e-03  1.76e+02  6.33e-02  9.50e-01  0.00000e+00  1.00000e+00
  10400000  8.993947e+03  5.205765e-04  5.262000e+02  6.634669e-01  2.648797e-03  1.78e+02  6.19e-02  9.50e-01  0.00000e+00  1.00000e+00
  10500000  9.044999e+03  5.105231e-04  5.437836e+02  6.663671e-01  2.594279e-03  1.82e+02  6.07e-02  9.50e-01  0.00000e+00  1.00000e+00
  10600000  9.095492e+03  5.049316e-04  5.617111e+02  6.692378e-01  2.541595e-03  1.87e+02  6.37e-02  9.50e-01  0.00000e+00  1.00000e+00
  10700000  9.145069e+03  4.957677e-04  5.798466e+02  6.720584e-01  2.491034e-03  1.90e+02  6.43e-02  9.50e-01  0.00000e+00  1.00000e+00
  10800000  9.193377e+03  4.830869e-04  5.980405e+02  6.748089e-01  2.442852e-03  1.92e+02  6.20e-02  9.50e-01  0.00000e+00  1.00000e+00
  10900000  9.240826e+03  4.744889e-04  6.164256e+02  6.775120e-01  2.396547e-03  1.95e+02  6.18e-02  9.50e-01  0.00000e+00  1.00000e+00
  11000000  9.287816e+03  4.698971e-04  6.351488e+02  6.801906e-01  2.351662e-03  2.00e+02  6.50e-02  9.50e-01  0.00000e+00  1.00000e+00
  11100000  9.334188e+03  4.637195e-04  6.541421e+02  6.828354e-01  2.308294e-03  2.04e+02  6.57e-02  9.50e-01  0.00000e+00  1.00000e+00
  11200000  9.379350e+03  4.516197e-04  6.731450e+02  6.854125e-01  2.266924e-03  2.05e+02  6.29e-02  9.50e-01  0.00000e+00  1.00000e+00
  11300000  9.423653e+03  4.430286e-04  6.922826e+02  6.879417e-01  2.227152e-03  2.08e+02  6.24e-02  9.50e-01  0.00000e+00  1.00000e+00
  11400000  9.467457e+03  4.380388e-04  7.116995e+02  6.904435e-01  2.188602e-03  2.12e+02  6.55e-02  9.50e-01  0.00000e+00  1.00000e+00
  11500000  9.511043e+03  4.358640e-04  7.315196e+02  6.929338e-01  2.150991e-03  2.18e+02  6.75e-02  9.50e-01  0.00000e+00  1.00000e+00
  11600000  9.553665e+03  4.262169e-04  7.513943e+02  6.953698e-01  2.114918e-03  2.20e+02  6.53e-02  9.50e-01  0.00000e+00  1.00000e+00
  11700000  9.595312e+03  4.164715e-04  7.712963e+02  6.977508e-01  2.080330e-03  2.21e+02  6.27e-02  9.50e-01  0.00000e+00  1.00000e+00
  11800000  9.636311e+03  4.099884e-04  7.913640e+02  7.000955e-01  2.046906e-03  2.24e+02  6.53e-02  9.50e-01  0.00000e+00  1.00000e+00
  11900000  9.676985e+03  4.067406e-04  8.117490e+02  7.024221e-01  2.014347e-03  2.29e+02  6.77e-02  9.50e-01  0.00000e+00  1.00000e+00
  12000000  9.717538e+03  4.055320e-04  8.325559e+02  7.047424e-01  1.982468e-03  2.35e+02  6.90e-02  9.50e-01  0.00000e+00  1.00000e+00
  12100000  9.757169e+03  3.963060e-04  8.533647e+02  7.070103e-01  1.951867e-03  2.36e+02  6.57e-02  9.50e-01  0.00000e+00  1.00000e+00
  12200000  9.795915e+03  3.874611e-04  8.741728e+02  7.092280e-01  1.922466e-03  2.37e+02  6.41e-02  9.50e-01  0.00000e+00  1.00000e+00
  12300000  9.834069e+03  3.815424e-04  8.951201e+02  7.114121e-01  1.894006e-03  2.40e+02  6.70e-02  9.50e-01  0.00000e+00  1.00000e+00
  12400000  9.871922e+03  3.785298e-04  9.163591e+02  7.135792e-01  1.866243e-03  2.44e+02  6.91e-02  9.50e-01  0.00000e+00  1.00000e+00
  12500000  9.909769e+03  3.784705e-04  9.380592e+02  7.157462e-01  1.838946e-03  2.51e+02  7.05e-02  9.50e-01  0.00000e+00  1.00000e+00
  12600000  9.947074e+03  3.730488e-04  9.599115e+02  7.178823e-01  1.812485e-03  2.54e+02  6.81e-02  9.50e-01  0.00000e+00  1.00000e+00
  12700000  9.983456e+03  3.638178e-04  9.816746e+02  7.199657e-01  1.787095e-03  2.54e+02  6.51e-02  9.50e-01  0.00000e+00  1.00000e+00
  12800000  1.001918e+04  3.572433e-04  1.003486e+03  7.220115e-01  1.762558e-03  2.56e+02  6.78e-02  9.50e-01  0.00000e+00  1.00000e+00
  12900000  1.005451e+04  3.532760e-04  1.025495e+03  7.240347e-01  1.738670e-03  2.59e+02  6.99e-02  9.50e-01  0.00000e+00  1.00000e+00
  13000000  1.008970e+04  3.519472e-04  1.047862e+03  7.260502e-01  1.715239e-03  2.65e+02  7.13e-02  9.50e-01  0.00000e+00  1.00000e+00
  13100000  1.012499e+04  3.529040e-04  1.070741e+03  7.280712e-01  1.692105e-03  2.72e+02  7.19e-02  9.50e-01  0.00000e+00  1.00000e+00
  13200000  1.015963e+04  3.463773e-04  1.093643e+03  7.300547e-01  1.669745e-03  2.74e+02  6.78e-02  9.50e-01  0.00000e+00  1.00000e+00
  13300000  1.019345e+04  3.381707e-04  1.116437e+03  7.319911e-01  1.648240e-03  2.73e+02  6.74e-02  9.50e-01  0.00000e+00  1.00000e+00
  13400000  1.022668e+04  3.323399e-04  1.139263e+03  7.338941e-01  1.627413e-03  2.75e+02  7.01e-02  9.50e-01  0.00000e+00  1.00000e+00
  13500000  1.025957e+04  3.288502e-04  1.162273e+03  7.357769e-01  1.607101e-03  2.78e+02  7.19e-02  9.50e-01  0.00000e+00  1.00000e+00
  13600000  1.029234e+04  3.277372e-04  1.185629e+03  7.376531e-01  1.587145e-03  2.84e+02  7.29e-02  9.50e-01  0.00000e+00  1.00000e+00
  13700000  1.032525e+04  3.291133e-04  1.209517e+03  7.395371e-01  1.567391e-03  2.91e+02  7.33e-02  9.50e-01  0.00000e+00  1.00000e+00
  13800000  1.035791e+04  3.265825e-04  1.233658e+03  7.414063e-01  1.548066e-03  2.96e+02  7.04e-02  9.50e-01  0.00000e+00  1.00000e+00
  13900000  1.038973e+04  3.181680e-04  1.257603e+03  7.432271e-01  1.529502e-03  2.94e+02  6.88e-02  9.50e-01  0.00000e+00  1.00000e+00
  14000000  1.042092e+04  3.118867e-04  1.281489e+03  7.450118e-01  1.511550e-03  2.95e+02  7.15e-02  9.50e-01  0.00000e+00  1.00000e+00
  14100000  1.045169e+04  3.077129e-04  1.305464e+03  7.467722e-01  1.494076e-03  2.97e+02  7.33e-02  9.50e-01  0.00000e+00  1.00000e+00
  14200000  1.048225e+04  3.056530e-04  1.329686e+03  7.485206e-01  1.476947e-03  3.01e+02  7.43e-02  9.50e-01  0.00000e+00  1.00000e+00
  14300000  1.051283e+04  3.057773e-04  1.354330e+03  7.502695e-01  1.460037e-03  3.08e+02  7.47e-02  9.50e-01  0.00000e+00  1.00000e+00
  14400000  1.054365e+04  3.081712e-04  1.379591e+03  7.520316e-01  1.443218e-03  3.17e+02  7.45e-02  9.50e-01  0.00000e+00  1.00000e+00
  14500000  1.057409e+04  3.044796e-04  1.404974e+03  7.537723e-01  1.426819e-03  3.19e+02  7.07e-02  9.50e-01  0.00000e+00  1.00000e+00
  14600000  1.060377e+04  2.967929e-04  1.430128e+03  7.554688e-01  1.411040e-03  3.18e+02  7.18e-02  9.50e-01  0.00000e+00  1.00000e+00
  14700000  1.063288e+04  2.910405e-04  1.455196e+03  7.571320e-01  1.395760e-03  3.18e+02  7.41e-02  9.50e-01  0.00000e+00  1.00000e+00
  14800000  1.066160e+04  2.871792e-04  1.480326e+03  7.587727e-01  1.380870e-03  3.20e+02  7.55e-02  9.50e-01  0.00000e+00  1.00000e+00
  14900000  1.069012e+04  2.852185e-04  1.505679e+03  7.604019e-01  1.366262e-03  3.24e+02  7.62e-02  9.50e-01  0.00000e+00  1.00000e+00
  15000000  1.071864e+04  2.852230e-04  1.531429e+03  7.620307e-01  1.351831e-03  3.30e+02  7.63e-02  9.50e-01  0.00000e+00  1.00000e+00
  15100000  1.074737e+04  2.873203e-04  1.557777e+03  7.636711e-01  1.337471e-03  3.39e+02  7.59e-02  9.50e-01  0.00000e+00  1.00000e+00
  15200000  1.077622e+04  2.885106e-04  1.584652e+03  7.653179e-01  1.323227e-03  3.47e+02  7.35e-02  9.50e-01  0.00000e+00  1.00000e+00
  15300000  1.080435e+04  2.812617e-04  1.611260e+03  7.669229e-01  1.309510e-03  3.45e+02  7.32e-02  9.50e-01  0.00000e+00  1.00000e+00
  15400000  1.083185e+04  2.749563e-04  1.637668e+03  7.684914e-01  1.296258e-03  3.43e+02  7.57e-02  9.50e-01  0.00000e+00  1.00000e+00
  15500000  1.085888e+04  2.703619e-04  1.664020e+03  7.700334e-01  1.283377e-03  3.44e+02  7.73e-02  9.50e-01  0.00000e+00  1.00000e+00
  15600000  1.088563e+04  2.674636e-04  1.690473e+03  7.715583e-01  1.270780e-03  3.46e+02  7.81e-02  9.50e-01  0.00000e+00  1.00000e+00
  15700000  1.091226e+04  2.662927e-04  1.717191e+03  7.730762e-01  1.258379e-03  3.51e+02  7.82e-02  9.50e-01  0.00000e+00  1.00000e+00
  15800000  1.093895e+04  2.669315e-04  1.744362e+03  7.745973e-01  1.246089e-03  3.58e+02  7.77e-02  9.50e-01  0.00000e+00  1.00000e+00
  15900000  1.096590e+04  2.695199e-04  1.772196e+03  7.761326e-01  1.233819e-03  3.68e+02  7.68e-02  9.50e-01  0.00000e+00  1.00000e+00
  16000000  1.099305e+04  2.714688e-04  1.800642e+03  7.776786e-01  1.221601e-03  3.77e+02  7.48e-02  9.50e-01  0.00000e+00  1.00000e+00
  16100000  1.101953e+04  2.647644e-04  1.828787e+03  7.791859e-01  1.209820e-03  3.74e+02  7.59e-02  9.50e-01  0.00000e+00  1.00000e+00
  16200000  1.104539e+04  2.586294e-04  1.856669e+03  7.806578e-01  1.198437e-03  3.72e+02  7.82e-02  9.50e-01  0.00000e+00  1.00000e+00
  16300000  1.107079e+04  2.540331e-04  1.884434e+03  7.821030e-01  1.187378e-03  3.72e+02  7.96e-02  9.50e-01  0.00000e+00  1.00000e+00
  16400000  1.109589e+04  2.509580e-04  1.912235e+03  7.835303e-01  1.176567e-03  3.73e+02  8.02e-02  9.50e-01  0.00000e+00  1.00000e+00
  16500000  1.112083e+04  2.494271e-04  1.940239e+03  7.849485e-01  1.165935e-03  3.77e+02  8.02e-02  9.50e-01  0.00000e+00  1.00000e+00
  16600000  1.114578e+04  2.495069e-04  1.968627e+03  7.863666e-01  1.155411e-03  3.83e+02  7.96e-02  9.50e-01  0.00000e+00  1.00000e+00
