      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
   1224123  4.769016e+01  1.632554e-02  6.209761e+01  2.992817e+00  3.075299e-01  1.546141e+02  3.962665e-02  1.247403e-01  4.270173e-05
   1237778  4.827990e+01  1.652743e-02  6.147663e+01  2.962889e+00  3.075362e-01  1.546173e+02  3.970158e-02  1.256057e-01  4.299801e-05
   1251439  4.887192e+01  1.673009e-02  6.086182e+01  2.933258e+00  3.075426e-01  1.546205e+02  3.977656e-02  1.264770e-01  4.329626e-05
   1265105  4.946622e+01  1.693353e-02  6.025316e+01  2.903924e+00  3.075490e-01  1.546237e+02  3.985159e-02  1.273540e-01  4.359647e-05
   1278775  5.006279e+01  1.713775e-02  5.965063e+01  2.874884e+00  3.075554e-01  1.546269e+02  3.992667e-02  1.282367e-01  4.389865e-05
   1292450  5.066170e+01  1.734278e-02  5.905411e+01  2.846135e+00  3.075618e-01  1.546301e+02  4.000179e-02  1.291252e-01  4.420282e-05
   1306130  5.126300e+01  1.754862e-02  5.846354e+01  2.817672e+00  3.075683e-01  1.546334e+02  4.007697e-02  1.300197e-01  4.450901e-05
   1319814  5.186668e+01  1.775527e-02  5.787890e+01  2.789495e+00  3.075747e-01  1.546366e+02  4.015221e-02  1.309200e-01  4.481721e-05
   1333503  5.247283e+01  1.796277e-02  5.730009e+01  2.761599e+00  3.075812e-01  1.546399e+02  4.022749e-02  1.318263e-01  4.512746e-05
   1347196  5.308143e+01  1.817111e-02  5.672709e+01  2.733983e+00  3.075877e-01  1.546431e+02  4.030284e-02  1.327386e-01  4.543976e-05
   1360894  5.369257e+01  1.838032e-02  5.615978e+01  2.706641e+00  3.075943e-01  1.546464e+02  4.037825e-02  1.336569e-01  4.575414e-05
   1374596  5.430626e+01  1.859040e-02  5.559815e+01  2.679574e+00  3.076008e-01  1.546497e+02  4.045371e-02  1.345814e-01  4.607059e-05
   1388302  5.492251e+01  1.880136e-02  5.504215e+01  2.652777e+00  3.076074e-01  1.546530e+02  4.052924e-02  1.355119e-01  4.638915e-05
   1402012  5.554139e+01  1.901322e-02  5.449170e+01  2.626248e+00  3.076140e-01  1.546564e+02  4.060484e-02  1.364487e-01  4.670982e-05
   1415726  5.616293e+01  1.922599e-02  5.394675e+01  2.599984e+00  3.076206e-01  1.546597e+02  4.068050e-02  1.373916e-01  4.703262e-05
   1429444  5.678718e+01  1.943968e-02  5.340725e+01  2.573982e+00  3.076273e-01  1.546630e+02  4.075622e-02  1.383409e-01  4.735757e-05
   1443165  5.741413e+01  1.965430e-02  5.287316e+01  2.548242e+00  3.076339e-01  1.546664e+02  4.083202e-02  1.392964e-01  4.768467e-05
   1456890  5.804386e+01  1.986988e-02  5.234440e+01  2.522758e+00  3.076406e-01  1.546697e+02  4.090789e-02  1.402583e-01  4.801396e-05
   1470618  5.867639e+01  2.008641e-02  5.182095e+01  2.497530e+00  3.076473e-01  1.546731e+02  4.098383e-02  1.412266e-01  4.834543e-05
